Age,Gender,Time_Spent,Product_Category,Number_of_Items_Viewed,Device_Used,Purchased
24,Male,11,Books,1,Tablet,1
56,Male,9,Books,7,Desktop,0
38,Male,6,Electronics,7,Tablet,0
26,Male,39,Electronics,4,Tablet,1
29,Female,16,Books,5,Tablet,1
32,Male,30,Clothing,2,Mobile,1
30,Male,23,Clothing,1,Mobile,0
35,Male,49,Clothing,3,Mobile,0
21,Male,26,Electronics,13,Mobile,1
63,Male,10,Electronics,11,Tablet,0
27,Female,37,Electronics,19,Desktop,1
39,Male,6,Clothing,15,Desktop,1
29,Female,7,Electronics,10,Mobile,1
42,Male,44,Books,16,Desktop,0
52,Female,28,Clothing,11,Tablet,1
20,Male,30,Electronics,17,Desktop,1
56,Male,14,Books,6,Mobile,1
59,Male,49,Books,12,Tablet,0
62,Female,36,Clothing,9,Tablet,1
48,Male,24,Books,6,Mobile,0
52,Female,42,Clothing,12,Tablet,0
33,Male,47,Clothing,13,Mobile,0
23,Male,31,Clothing,1,Desktop,0
23,Male,35,Clothing,6,Tablet,1
56,Male,19,Books,4,Desktop,1
19,Female,15,Clothing,5,Desktop,0
27,Female,47,Clothing,15,Desktop,0
62,Male,12,Books,16,Desktop,0
29,Female,44,Electronics,4,Desktop,0
21,Female,32,Books,16,Tablet,0
61,Female,45,Books,7,Tablet,0
44,Female,14,Electronics,12,Desktop,0
30,Female,45,Clothing,11,Tablet,1
51,Male,40,Books,15,Mobile,0
37,Female,13,Electronics,1,Mobile,0
35,Male,28,Electronics,2,Desktop,1
49,Male,43,Books,10,Mobile,0
33,Female,49,Books,2,Tablet,1
27,Male,30,Electronics,2,Desktop,1
32,Male,46,Clothing,12,Desktop,1
55,Female,20,Books,9,Tablet,0
49,Male,40,Books,2,Mobile,1
31,Male,14,Electronics,4,Desktop,0
63,Male,27,Books,2,Tablet,1
50,Male,44,Books,17,Mobile,0
38,Male,11,Clothing,7,Mobile,0
45,Female,48,Electronics,2,Desktop,1
61,Male,9,Electronics,18,Mobile,1
39,Female,5,Books,17,Desktop,1
28,Male,5,Books,2,Desktop,0
32,Female,19,Clothing,11,Desktop,1
35,Male,27,Books,10,Mobile,0
44,Male,47,Clothing,5,Mobile,1
28,Female,48,Books,4,Tablet,1
53,Male,32,Clothing,3,Mobile,0
45,Female,41,Books,12,Desktop,0
25,Male,13,Electronics,5,Tablet,1
34,Male,31,Clothing,16,Desktop,0
23,Male,10,Clothing,3,Desktop,0
57,Male,13,Books,10,Tablet,1
44,Male,23,Clothing,18,Tablet,0
45,Female,13,Books,13,Mobile,0
52,Female,46,Books,14,Mobile,0
21,Female,8,Clothing,18,Tablet,1
60,Male,16,Electronics,11,Tablet,1
43,Male,10,Electronics,1,Desktop,0
46,Female,12,Books,7,Mobile,1
62,Male,18,Electronics,10,Tablet,0
21,Female,30,Electronics,15,Desktop,1
59,Male,43,Electronics,8,Tablet,1
48,Female,38,Clothing,1,Tablet,0
20,Male,13,Clothing,17,Tablet,1
21,Male,10,Electronics,14,Desktop,1
58,Female,15,Electronics,15,Mobile,0
44,Female,15,Books,5,Mobile,0
39,Female,15,Electronics,3,Mobile,0
64,Female,32,Books,8,Desktop,0
22,Female,24,Books,9,Desktop,1
62,Male,27,Electronics,2,Tablet,1
54,Female,26,Electronics,16,Desktop,1
20,Female,23,Books,14,Mobile,0
30,Female,43,Clothing,19,Mobile,0
37,Female,10,Electronics,9,Desktop,1
40,Male,10,Clothing,5,Mobile,0
62,Female,19,Electronics,19,Tablet,1
64,Male,37,Clothing,18,Mobile,1
30,Female,47,Clothing,11,Tablet,0
50,Female,26,Electronics,13,Mobile,1
48,Male,6,Books,12,Mobile,1
36,Female,19,Electronics,6,Mobile,0
46,Female,12,Clothing,9,Mobile,1
20,Female,23,Books,14,Desktop,0
36,Male,42,Clothing,16,Mobile,0
39,Female,49,Books,17,Desktop,1
57,Female,31,Electronics,10,Desktop,0
64,Male,7,Electronics,10,Tablet,1
19,Female,36,Books,7,Tablet,0
52,Male,47,Books,11,Desktop,1
50,Male,44,Electronics,11,Desktop,0
56,Male,38,Electronics,13,Desktop,1
58,Male,13,Clothing,8,Tablet,1
31,Female,36,Electronics,14,Mobile,0
22,Female,39,Books,14,Tablet,0
36,Male,36,Electronics,1,Mobile,1
46,Male,47,Electronics,5,Desktop,1
32,Male,8,Books,17,Mobile,0
29,Male,10,Books,5,Tablet,1
50,Female,13,Books,16,Mobile,0
64,Female,40,Clothing,9,Desktop,0
32,Female,5,Books,19,Tablet,1
44,Male,17,Books,14,Mobile,0
27,Female,37,Clothing,10,Desktop,0
59,Female,36,Clothing,1,Tablet,0
25,Male,21,Clothing,9,Desktop,1
56,Male,14,Clothing,16,Tablet,0
37,Male,44,Books,12,Desktop,0
58,Female,27,Clothing,10,Desktop,0
52,Male,30,Clothing,14,Mobile,0
46,Female,10,Electronics,4,Desktop,1
37,Male,6,Books,2,Mobile,0
62,Female,24,Books,3,Mobile,1
27,Female,10,Books,4,Desktop,1
18,Male,9,Electronics,13,Tablet,0
48,Male,28,Electronics,2,Tablet,1
21,Male,6,Clothing,15,Desktop,1
28,Female,31,Books,15,Mobile,1
30,Male,30,Books,3,Mobile,0
33,Female,29,Electronics,18,Mobile,0
19,Female,18,Electronics,9,Mobile,0
32,Male,6,Books,7,Mobile,0
46,Female,33,Clothing,1,Mobile,1
52,Male,49,Clothing,15,Desktop,0
39,Female,49,Clothing,17,Desktop,1
61,Male,41,Electronics,3,Tablet,0
62,Male,33,Books,9,Mobile,1
39,Female,43,Electronics,4,Tablet,1
36,Female,28,Electronics,9,Tablet,1
31,Male,37,Books,5,Desktop,1
57,Female,13,Books,16,Desktop,1
51,Female,16,Clothing,3,Mobile,0
50,Female,47,Books,4,Desktop,1
29,Male,9,Books,9,Desktop,1
35,Female,49,Electronics,18,Mobile,0
64,Male,30,Books,17,Desktop,0
